"","Var1","Freq"
"1","ATL",131613
"2","ORD",125979
"3","DFW",95414
"4","DEN",74323
"5","LAX",58772
"6","IAH",56847
"7","PHX",55720
"8","LAS",53710
"9","EWR",52925
"10","DTW",43923
"11","SFO",43801
"12","MCO",36139
"13","CLT",35055
"14","JFK",34706
"15","MSP",32436
"16","LGA",31185
"17","SEA",31060
"18","BWI",30710
"19","PHL",30316
"20","MDW",29222
"21","SLC",28675
"22","BOS",28196
"23","SAN",24828
"24","CVG",23881
"25","MIA",23273
"26","IAD",22125
"27","TPA",20199
"28","HOU",19639
"29","FLL",19363
"30","DAL",18710
"31","MEM",18121
"32","DCA",17725
"33","STL",17328
"34","OAK",17031
"35","BNA",16496
"36","CLE",16398
"37","MCI",16022
"38","RDU",15383
"39","PDX",13791
"40","SMF",13644
"41","SJC",13082
"42","MKE",11876
"43","AUS",11843
"44","SNA",11554
"45","SAT",10902
"46","PIT",10799
"47","ABQ",10674
"48","MSY",10498
"49","IND",9710
"50","HNL",8666
"51","ONT",8646
"52","CMH",8394
"53","JAX",7933
"54","PBI",7684
"55","BUR",7259
"56","BUF",6777
"57","RSW",6602
"58","BDL",6496
"59","OMA",6423
"60","RNO",6146
"61","OKC",6114
"62","BHM",6068
"63","SJU",5918
"64","SDF",5786
"65","PVD",5694
"66","TUL",5600
"67","TUS",5531
"68","ANC",5140
"69","ELP",4828
"70","RIC",4784
"71","MHT",4686
"72","LIT",4441
"73","ORF",4031
"74","DSM",3900
"75","BOI",3727
"76","CHS",3680
"77","ROC",3624
"78","XNA",3577
"79","GRR",3576
"80","GEG",3527
"81","LGB",3523
"82","SAV",3519
"83","COS",3480
"84","TYS",3305
"85","DAY",3293
"86","ICT",3283
"87","MSN",3278
"88","SYR",3237
"89","ALB",3133
"90","GSO",3086
"91","OGG",2957
"92","FAT",2900
"93","JAN",2865
"94","HPN",2802
"95","CAE",2801
"96","PSP",2745
"97","ISP",2698
"98","SBA",2571
"99","GSP",2491
"100","SGF",2386
